id;first_name;last_name;email;age
1;Nickolas;Gusikowski;Donna4@yahoo.com;11093
2;Leonora;Bradtke;Halle.Mitchell@yahoo.com;27622
3;Shayna;Mayert;Angus9@gmail.com;18512
4;Monte;Marquardt;Seth.Cartwright@hotmail.com;23273
5;Vinnie;Harris;Donny23@gmail.com;20130
6;Jackson;Stanton;Muhammad_Kuhn@hotmail.com;27759
7;Kayley;Kemmer;Gideon70@yahoo.com;27669
8;Coralie;Altenwerth;Gage.Jast-Barrows@gmail.com;20936
9;Nicholas;Hodkiewicz;Wilford_Jakubowski@gmail.com;17734
10;Maiya;Hahn;Annalise_Thiel-Feil89@hotmail.com;23138
